Date,Open,High,Low,Close,Adj Close,Volume,Daily Return,SMA 20,SMA 50,Signal at Close,Next-Day Position,Strategy Net Return,Strategy Equity,Buy & Hold Net Return,Buy & Hold Equity,Strategy Drawdown,Buy & Hold Drawdown,Entry,Exit
2025-10-31,206.4499969482422,207.97000122070312,202.07000732421875,202.49000549316406,202.23207092285156,179802200,-0.0019715110218919696,188.06363754272462,181.68491333007813,1,1,-0.0019715110218919696,1.078164588802621,-0.0019715110218919696,1.1851137872282913,-0.021976431764060722,-0.021976431764060833,0,0
2025-11-03,208.0800018310547,211.33999633789062,205.55999755859375,206.8800048828125,206.61647033691406,180267300,0.021680040134361755,189.12927856445313,182.26217742919923,1,1,0.021680040134361755,1.1015392403593094,0.021680040134361755,1.2108071016991862,-0.0007728415523539089,-0.0007728415523539089,0,0
2025-11-04,203,203.97000122070312,197.92999267578125,198.69000244140625,198.43690490722656,188919300,-0.03958815778988811,189.81090927124023,182.63949890136718,1,1,-0.03958815778988811,1.0579313311002116,-0.03958815778988811,1.1628734791040016,-0.04033040396892085,-0.04033040396892096,0,0
2025-11-05,198.77000427246094,202.9199981689453,194.64999389648438,195.2100067138672,194.9613494873047,171350300,-0.01751466251475131,190.1155212402344,182.90816131591797,1,1,-0.01751466251475131,1.03940202087221,-0.01751466251475131,1.1425061425701404,-0.05713869306907282,-0.05713869306907293,0,0
2025-11-06,196.4199981689453,197.6199951171875,186.3800048828125,188.0800018310547,187.84042358398438,223029800,-0.03652480823530613,189.89130706787108,183.03780059814454,1,1,-0.03652480823530613,1.0014380613804628,-0.03652480823530613,1.1007763248051068,-0.09157652149721507,-0.09157652149721507,0,0
2025-11-07,184.89999389648438,188.32000732421875,178.91000366210938,188.14999389648438,187.91033935546875,264942300,0.00037220833593964997,190.14048919677734,183.19740020751954,1,1,0.00037220833593964997,1.0018108049748358,0.00037220833593964997,1.1011860429292042,-0.09123839870595307,-0.09123839870595307,0,0
2025-11-10,195.11000061035156,199.94000244140625,193.7899932861328,199.0500030517578,198.7964630126953,198897100,0.05793254216114918,190.67630615234376,183.69436340332032,1,1,0.05793254216114918,1.0598482516715353,0.05793254216114918,1.1649805497884693,-0.0385915289245522,-0.03859152892455231,0,0
2025-11-11,195.16000366210938,195.4199981689453,191.3000030517578,193.16000366210938,192.91395568847656,176483300,-0.029590603550341266,191.33197097778321,184.1415856933594,1,1,-0.029590603550341266,1.0284867022328006,-0.029590603550341266,1.13050807219582,-0.06704018584208549,-0.06704018584208571,0,0
2025-11-12,195.72000122070312,195.88999938964844,191.1300048828125,193.8000030517578,193.5531463623047,154935300,0.003313345950255231,192.02958145141602,184.60478729248047,1,1,0.003313345950255231,1.031894434482535,0.003313345950255231,1.1342538365385608,-0.06394896722009458,-0.0639489672200948,0,0
2025-11-13,191.0500030517578,191.44000244140625,183.85000610351562,186.86000061035156,186.62196350097656,207423100,-0.03581023089314139,192.28175888061523,184.90859283447264,1,1,-0.03581023089314139,0.9949420565263678,-0.03581023089314139,1.0936359447606836,-0.09746917083170648,-0.09746917083170659,0,0
